1 0.00 0.00
2 0.02 0.00
3 0.04 0.00
4 0.06 0.00
5 0.08 0.00
6 0.10 0.00
7 0.00 0.02
8 0.02 0.02
9 0.04 0.02
10 0.06 0.02
11 0.08 0.02
12 0.10 0.02
13 0.00 0.04
14 0.02 0.04
15 0.04 0.04
16 0.06 0.04
17 0.08 0.04
18 0.10 0.04
19 0.00 0.06
20 0.02 0.06
21 0.04 0.06
22 0.06 0.06
23 0.08 0.06
24 0.10 0.06
25 0.00 0.08
26 0.02 0.08
27 0.04 0.08
28 0.06 0.08
29 0.08 0.08
30 0.10 0.08
31 0.00 0.10
32 0.02 0.10
33 0.04 0.10
34 0.06 0.10

1 2 7 0.00
2 7 8 0.00
2 3 8 0.00
3 8 9 0.00
3 4 9 0.00
4 9 10 0.00
4 5 10 0.00
5 10 11 0.00
5 6 11 0.00
6 11 12 0.00
7 8 13 0.00
8 13 14 0.00
8 9 14 0.00
9 14 15 0.00
9 10 15 0.00
10 15 16 0.00
10 11 16 0.00
11 16 17 0.00
11 12 17 0.00
12 17 18 0.00
13 14 19 0.00
14 19 20 0.00
14 15 20 0.00
15 20 21 0.00
15 16 21 0.00
16 21 22 0.00
16 17 22 0.00
17 22 23 0.00
17 18 23 0.00
18 23 24 0.00
19 20 25 0.00
20 25 26 0.00
20 21 26 0.00
21 26 27 0.00
21 22 27 0.00
22 27 28 0.00
22 23 28 0.00
23 28 29 0.00
23 24 29 0.00
24 29 30 0.00
25 26 31 0.00
26 31 32 0.00
26 27 32 0.00
27 32 33 0.00
27 28 33 0.00
28 33 34 0.00

1 0.00
2 0.00
3 0.00
4 0.00
5 0.00
6 0.00
7 0.00
13 0.00
19 0.00
25 0.00
31 0.00
34 110.0
28 110.0
29 110.0
30 110.0
